VariableNr,Variable,Label,Scale.of.measurement,Units,Remark,From.paper
36,ALAT,Alanin transaminase,continuous,U/L,,"Age 15,985 58 (42?69) 65 (53?74) ,0.0001 0.611"
29,ALB,Albumin,continuous,G/L,,"ALAT (U/L) 14,919 26 (16?47) 30 (18?60) ,0.0001 0.55"
3,AGE,Patient Age,continuous,years,Alter=German age,"Albumin (G/L) 14,187 33.7 (28?39.3) 32 (26.925?36.7) ,0.0001 0.568"
30,AMY,Amylase,continuous,U/L,,"Amylase (U/L) 11,783 50 (34?77) 44 (28?70) ,0.0001 0.565"
34,AP,Alkaline phosphatase,continuous,U/L,,"ALP (U/L) 14,479 83 (62?120) 100 (72?164) ,0.0001 0.601"
17,APTT,Activated partial thromboplastin time,continuous,sec,,"aPTT (sec) 13,251 37.8 (34.2?42.8) 37.8 (34.2?43) n.s."
35,ASAT,Aspartate transaminase,continuous,U/L,,"ASAT (U/L) 14,745 31 (22?56) 37 (24?70.25) ,0.0001 0.558"
15,BASO,Basophiles,continuous,G/L,,"Basophiles % 15,375 0.2 (0.1?0.3) 0.1 (0.1?0.2) ,0.0001 0.606"
44,BASOR,Basophile ratio,continuous,%,,"Basophiles (G/L) 15,827 0 (0?0) 0 (0?0) ,0.0001 0.47"
53,BloodCulture,Blood culture result for bacteremia,nominal,"no, yes",,
25,BUN,Blood urea nitrogen,continuous,mg/dl,,"BUN (mg/dl) 15,800 16.2 (11.4?25.8) 22.5 (14.7?37.78) ,0.0001 0.633"
21,CA,Calcium,continuous,mmol/L,,"Calcium (mmol/L) 14,592 2.23 (2.09?2.35) 2.21 (2.08?2.33) 0.0001 0.533"
33,CHE,Cholinesterase,continuous,kU/L,,"CHE (kU/L) 13,353 4.66 (3.2?6.29) 3.94 (2.66?5.48) ,0.0001 0.591"
42,CHOL,Cholesterol,continuous,mg/dl,,"Cholesterol (mg/dl) 10,565 146 (114?183) 132 (105?171) ,0.0001 0.564"
